"date","text","who"
2015-08-06,"RUBIO: Let me set the record straight on a couple of things. The first is, the evidence is now clear that the majority of people coming across the border are not from Mexico. They're coming from Guatemala, El Salvador, Honduras. Those countries are the source of the people that are now coming in its majority. I also believe we need a fence. The problem is if El Chapo builds a tunnel under the fence, we have to be able to deal with that too. And that's why you need an e-verify system and you need an entry-exit tracking system and all sorts of other things to prevent illegal immigration. But I agree with what Governor Kasich just said. People are frustrated. This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States, and people feel like we're being taken advantage of. We feel like despite our generosity, we're being taken advantage of. And let me tell you who never gets talked about in these debates. The people that call my office, who have been waiting for 15 years to come to the United States. And they've paid their fees, and they hired a lawyer, and they can't get in. And they're wondering, maybe they should come illegally. [applause] And so these are important issues, and we should address it. It's a serious problem that needs to be addressed, and otherwise we're going to keep talking about this for the next 30 years, like we have for the last 30 years. ","RUBIO"
2015-08-06,"WALKER: Chris, I actually said that on your show earlier this year. [crosstalk] I acknowledged that. I said I actually listened to the American people. And I think people across America want a leader who's actually going to listen to them. I talked to border state governors and other elected officials. I look at how this president, particularly through last November, messed up the immigration system in this country. Most importantly, I listened to the people of America. I believe we need to secure the border. I've been to the border with Governor Abbott in Texas and others, seeing the problems that they have there. There is international criminal organizations penetrating our southern based borders, and we need to do something about it. Secure the border, enforce the law, no amnesty, and go forward with the legal immigration system that gives priority to American working families and wages. [applause] ","WALKER"
2015-08-06,"CRUZ: Chris, absolutely yes. And not only will I support it...[applause]...I have authored Kate's law in the United States Senate and filed that legislation. I tried to get the Senate to vote to pass Kate's law on the floor of the Senate just one week ago, and the leader of our own party blocked a vote on Kate's law. You know, there was reference made to our leaders being stupid. It's not a question of stupidity. It's that they don't want to enforce the immigration laws. That there are far too many in the Washington cartel that support amnesty. President Obama has talked about fundamentally transforming this country. There's 7 billion people across the face of the globe, many of whom want to come to this country. If they come legally, great. But if they come illegally and they get amnesty, that is how we fundamentally change this country, and it really is striking. A majority of the candidates on this stage have supported amnesty. I have never supported amnesty, and I led the fight against Chuck Schumer's gang of eight amnesty legislation in the Senate. ","CRUZ"
2015-08-06,"CHRISTIE: Yes, I do. And I'll tell you why","CHRISTIE"
2015-08-06,"PAUL: Megyn, may I respond? [applause] May I respond? ","PAUL"
2015-08-06,"PAUL: I want to collect more records from terrorists, but less records from innocent Americans. The Fourth Amendment was what we fought the Revolution over! John Adams said it was the spark that led to our war for independence, and I'm proud of standing for the Bill of Rights, and I will continue to stand for the Bill of Rights. [applause] ","PAUL"
2015-08-06,"CHRISTIE: And -- and, Megyn? Megyn, that's a -- that, you know, that's a completely ridiculous answer. ""I want to collect more records from terrorists, but less records from other people."" How are you supposed to know, Megyn? ","CHRISTIE"
2015-08-06,"PAUL: Use the Fourth Amendment! ","PAUL"
2015-08-06,"CHRISTIE: What are you supposed to... ","CHRISTIE"
2015-08-06,"PAUL: Use the Fourth Amendment! ","PAUL"
2015-08-06,"CHRISTIE: ...how are you supposed to -- no, I'll tell you how you, look... ","CHRISTIE"
2015-08-06,"PAUL: Get a warrant! ","PAUL"
2015-08-06,"CHRISTIE: Let me tell you something, you go... ","CHRISTIE"
2015-08-06,"PAUL: Get a judge to sign the warrant! ","PAUL"
2015-08-06,"CHRISTIE: When you -- you know, senator... [crosstalk] ","CHRISTIE"
2015-08-06,"CHRISTIE: Listen, senator, you know, when you're sitting in a subcommittee, just blowing hot air about this, you can say things like that. [applause] When you're responsible for protecting the lives of the American people, then what you need to do is to make sure... ","CHRISTIE"
2015-08-06,"PAUL: See, here's the problem. ","PAUL"
2015-08-06,"CHRISTIE: ...is to make sure that you use the system the way it's supposed to work. ","CHRISTIE"
2015-08-06,"PAUL: Here's the problem, governor. Here's the problem, governor. You fundamentally misunderstand the Bill of Rights. Every time you did a case, you got a warrant from a judge. I'm talking about searches without warrants... ","PAUL"
2015-08-06,"CHRISTIE: There is no... ","CHRISTIE"
2015-08-06,"PAUL: ...indiscriminately, of all Americans' records, and that's what I fought to end. I don't trust President Obama with our records. I know you gave him a big hug, and if you want to give him a big hug again, go right ahead. [applause] ","PAUL"
2015-08-06,"CHRISTIE: And you know -- you know, Senator Paul? Senator Paul, you know, the hugs that I remember are the hugs that I gave to the families who lost their people on September 11th. Those are the hugs I remember, and those had nothing to do -- and those had nothing to do with politics, unlike what you're doing by cutting speeches on the floor of the Senate, then putting them on the Internet within half an hour to raise money for your campaign... ","CHRISTIE"
2015-08-06,"CHRISTIE: ...and while still putting our country at risk. [crosstalk] ","CHRISTIE"
2015-08-06,"CHRISTIE: You know what, Megyn, can I... ","CHRISTIE"
2015-08-06,"CRUZ: Megyn, we need a commander in chief that speaks the truth. We will not defeat radical Islamic terrorism so long as we have a president unwilling to utter the words, ""radical Islamic terrorism"". [applause] When I asked General Dempsey, the chairman of the joint chiefs, what would be required militarily to destroy ISIS, he said there is no military solution. We need to change the conditions on the ground so that young men are not in poverty and susceptible to radicalization. That, with all due respect, is nonsense. It's the same answer the State Department gave that we need to give them jobs. What we need is a commander in chief who makes -- clear, if you join ISIS, if you wage jihad on America, then you are signing your death warrant. ","CRUZ"
2015-08-06,"CRUZ: Megyn, of course it's an ideological problem, that's one of the reasons I introduce the Expatriate Terrorist Act in the Senate that said if any American travels to the Middle East and joining ISIS, that he or she forfeits their citizenship so they don't use a passport to come back and wage jihad on Americans. [applause] Yes, it is ideological, and let me contrast President Obama, who at the prayer breakfast, essentially acted as an apologist. He said, ""Well, gosh, the crusades, the inquisitions--""[timer sounds] We need a president that shows the courage that Egypt's President al-Sisi did, a Muslim, when he called out the radical Islamic terrorists who are threatening the world. [applause] ","CRUZ"
2015-08-06,"BUSH: ...I remember... ","BUSH"
2015-08-06,"BUSH: ...I remember, Megyn. [laughter] ","BUSH"
2015-08-06,"BUSH: Knowing what we know now, with faulty intelligence, and not having security be the first priority when -- when we invaded, it was a mistake. I wouldn't have gone in, however, for the people that did lose their lives, and the families that suffer because of it -- I know this full well because as governor of the state of Florida, I called every one of them. Every one of them that I could find to tell them that I was praying for them, that I cared about them, and it was really hard to do. And, every one of them said that their child did not die in vain, or their wife, of their husband did not die in vain. So, why it was difficult for me to do it was based on that. Here's the lesson that we should take from this, which relates to this whole subject. Barack Obama became president, and he abandoned Iraq. He left, and when he left Al Qaida was done for. ISIS was created because [timer sounds] of the void that we left, and that void now exists as a caliphate the size of Indiana. To honor the people that died, we need to -- we need to --- stop the -- Iran agreement, for sure, because the Iranian mullahs have their blood on their hands, and we need to take out ISIS with every tool at our disposal. [applause] ","BUSH"
2015-08-06,"WALKER: I don't know about additional ones. We need to focus on the ones we have. You look at Egypt, probably the best relationship we've had in Israel, at least in my lifetime, incredibly important. You look at the Saudis -- in fact, earlier this year, I met with Saudi leaders, and leaders from the United Arab Emirates, and I asked them what's the greatest challenge in the world today? Set aside the Iran deal. They said it's the disengagement of America. We are leading from behind under the Obama-Clinton doctrine -- America's a great country. We need to stand up and start leading again, and we need to have allies, not just in Israel, but throughout the Persian Gulf. ","WALKER"
2015-08-06,"CARSON: Well, thank you, Megyn, I wasn't sure I was going to get to talk again. [applause] ","CARSON"
2015-08-06,"CARSON: Alright. You know, what we do in order to get the information that we need is our business, and I wouldn't necessarily be broadcasting what we're going to do. [applause] We. . .uh. . .we've gotten into this -- this mindset of fighting politically correct wars. There is no such thing as a politically correct war. [applause] And, the left, of course, will say Carson doesn't believe in the Geneva Convention. Carson doesn't believe in fighting stupid wars. And -- and what we have to remember is we want to utilize the tremendous intellect that we have in the military to win wars. And I've talked to a lot of the generals, a lot of our advanced people. And believe me, if we gave them the mission, which is what the commander-in-chief does, they would be able to carry it out. And if we don't tie their hands behind their back, they will do it...[timer sounds]...extremely effectively. [applause] ","CARSON"
2015-08-06,"TRUMP: A complete disaster, yes. ","TRUMP"
2015-08-06,"TRUMP: Correct. ","TRUMP"
2015-08-06,"TRUMP: First of all, I'd like to just go back to one. In July of 2004, I came out strongly against the war with Iraq, because it was going to destabilize the Middle East. And I'm the only one on this stage that knew that and had the vision to say it. And that's exactly what happened. ","TRUMP"
2015-08-06,"TRUMP: And the Middle East became totally destabilized. So I just want to say. As far as single payer, it works in Canada. It works incredibly well in Scotland. It could have worked in a different age, which is the age you're talking about here. What I'd like to see is a private system without the artificial lines around every state. I have a big company with thousands and thousands of employees. And if I'm negotiating in New York or in New Jersey or in California, I have like one bidder. Nobody can bid. You know why? Because the insurance companies are making a fortune because they have control of the politicians, of course, with the exception of the politicians on this stage. But they have total control of the politicians. They're making a fortune. Get rid of the artificial lines and you will have...[timer sounds]...yourself great plans. And then we have to take care of the people that can't take care of themselves. And I will do that through a different system. [crosstalk] ","TRUMP"
2015-08-06,"PAUL: I've got a news flash... ","PAUL"
2015-08-06,"PAUL: News flash, the Republican Party's been fighting against a single-payer system... ","PAUL"
2015-08-06,"PAUL: -- for a decade. So I think you're on the wrong side of this if you're still arguing for a single-payer system. ","PAUL"
2015-08-06,"TRUMP: I'm not -- I'm not are -- I don't think you heard me. You're having a hard time tonight. ","TRUMP"
2015-08-06,"TRUMP: You'd better believe it. ","TRUMP"
2015-08-06,"TRUMP: If I ask them, if I need them, you know, most of the people on this stage I've given to, just so you understand, a lot of money. ","TRUMP"
2015-08-06,"RUBIO: Not me. ","RUBIO"
2015-08-06,"HUCKABEE: Not me. [laughter] But you're welcome to give me a check, Donald if you'd like. ","HUCKABEE"
2015-08-06,"TRUMP: Many of them. ","TRUMP"
2015-08-06,"RUBIO: Actually, to be clear...[crosstalk]...he supported Charlie Crist. ","RUBIO"
2015-08-06,"TRUMP: Not much. ","TRUMP"
2015-08-06,"RUBIO: Hey, Charlie...[crosstalk] ","RUBIO"
2015-08-06,"TRUMP: But I...[crosstalk] ","TRUMP"
2015-08-06,"KASICH: Donald, if you...[crosstalk] ","KASICH"
2015-08-06,"TRUMP: I have good... ","TRUMP"
2015-08-06,"KASICH: -- this campaign, I hope you will give to me. ","KASICH"
2015-08-06,"TRUMP: Good. ","TRUMP"
2015-08-06,"KASICH: OK. ","KASICH"
2015-08-06,"TRUMP: Sounds good. Sounds good to me, Governor. I will tell you that our system is broken. I gave to many people, before this, before two months ago, I was a businessman. I give to everybody. When they call, I give. And do you know what? When I need something from them two years later, three years later, I call them, they are there for me. UNIDENTIFIED ","TRUMP"
2015-08-06,"TRUMP: And that's a broken system. UNIDENTIFIED ","TRUMP"
2015-08-06,"TRUMP: Well, I'll tell you what, with Hillary Clinton, I said be at my wedding and she came to my wedding. You know why? She didn't have a choice because I gave. I gave to a foundation that, frankly, that foundation is supposed to do good. I didn't know her money would be used on private jets going all over the world. It was. But...[timer sounds] [crosstalk] ","TRUMP"
2015-08-06,"WALKER: Just one second on this, though. We -- we spent a lot of time talking about Hillary Clinton and ---and pitting us back and forth. Let's be clear, we should be talking about Hillary Clinton on that last subject, because everywhere in the world that Hillary Clinton touched is more messed up today than before she and the president [inaudible]. ","WALKER"
2015-08-06,"WALKER: It's true. ","WALKER"
2015-08-06,"HUCKABEE: It's not too big to shrink. But the problem is we have a Wall Street-to-Washington axis of power that has controlled the political climate. The donor class feeds the political class who does the dance that the donor class wants. And the result is federal government keeps getting bigger. Every person on this stage who has been a governor will tell that you the biggest fight they had was not the other party. Wasn't even the legislature. It was the federal government, who continually put mandates on the states that we had to suck up and pay for. And the fact is there are a lot of things happening at the federal level that are absolutely beyond the jurisdiction of the Constitution. This is power that should be shifted back to the states, whether it's the EPA, there is no role at the federal level for the Department of Education. [cheering and applause] And I'm still one who says that we can get rid of the Internal Revenue Service if we would pass the FairTax, which is a tax on consumption rather than a tax on people's income, and move power back where the founders believed it should have been all along. ","HUCKABEE"
2015-08-06,"CARSON: What I agree with is that we need a significantly changed taxation system. And the one that I've advocated is based on tithing, because I think God is a pretty fair guy. And he said, you know, if you give me a tithe, it doesn't matter how much you made. If you've had a bumper crop, you don't owe me triple tithes. And if you've had no crops at all, you don't owe me no tithes. So there must be something inherently fair about that. And that's why I've advocated a proportional tax system. You make $10 billion, you pay a billion. You make $10, you pay one. And everybody gets treated the same way. And you get rid of the deductions, you get rid of all the loopholes, and...[timer sounds] ","CARSON"
2015-08-06,"CARSON: And I have a lot more to say about it. ","CARSON"
2015-08-06,"BUSH: No, I don't. And I don't believe the federal government should be involved in the creation of standards directly or indirectly, the creation of curriculum or content. It is clearly a state responsibility. I'm for higher standards... [applause] ...measured in an intellectually honest way, with abundant school choice, ending social promotion. And I know how to do this because as governor of the state of Florida I created the first statewide voucher program in the country, the second statewide voucher program, in the country and the third statewide voucher program in the country. And we had rising student achievement across the board, because high standards, robust accountability, ending social promotion in third grade, real school choice across the board, challenging the teachers union and beating them is the way to go. And Florida's low income kids had the greatest gains inside the country. Our graduation rate improved by 50 percent. That's what I'm for. ","BUSH"
2015-08-06,"RUBIO: Well, first off, I too believe in curriculum reform. It is critically important in the 21st Century. We do need curriculum reform. And it should happen at the state and local level. That's. . . that's. . . that is where educational policy belongs, because if a parent is unhappy with what their child is being taught in school, they can go to that local school board or their state legislature, or their governor and get it changed. Here's the problem with Common Core. The Department of Education, like every federal agency, will never be satisfied. They will not stop with it being a suggestion. They will turn it into a mandate. In fact, what they will begin to say to local communities is, you will not get federal money unless do you things the way we want you to do it. And they will use Common Core or any other requirements that exists nationally to force it down the throats of our people in our states. [applause] ","RUBIO"
2015-08-06,"BUSH: He is definitely my friend. And I think the states ought to create these standards. And if states want to opt out of Common Core, fine. Just make sure your standards are high. Because today in America, a third of our kids, after we spend more per student than any country in the world other than a couple rounding errors, to be honest with you, 30 percent are college- and/or career-ready. If we are going to compete in this world we're in today, there is no possible way we can do it with lowering expectations and dumbing down everything. Children are going to suffer and families' hearts are going to be broken that their kids won't be able to get a job in the 21st Century. [applause] ","BUSH"
2015-08-06,"KASICH: Let's start off with my father being a mailman. So I understand the concerns of all the folks across this country, some of whom have trouble, you know, making ends meet. But I think she will come in a narrow way. The nominee of this party, if they're going to win, has got to come at it in a big way, which is pro-growth. Which is balancing budgets. You know, we were talking about it. People were saying, could we do it? I was the chairman of the Budget Committee and the lead architect the last time it happened in Washington, and when we did it we had great economic growth, we cut taxes, and we had a big surplus. Economic growth is the key. Economic growth is the key to everything. But once you have economic growth, it is important that we reach out to people who live in the shadows, the people who don't seem to ever think that they get a fair deal. And that includes people in our minority community; that includes people who feel as though they don't have a chance to move up. You know, America is a miracle country. And we have to restore the sense that the ""Amiracle"" will apply to you. Each and every one of the people in this country who's watching tonight, lift everybody, [timer sounds] unite everybody and build a stronger United States of America again. It will be and can be done. ","KASICH"
2015-08-06,"CARSON: If Hillary is the candidate, which I doubt, that would be a dream come true. [laughter] But you know, the fact of the matter is, she is the epitome of the progressive -- the secular progressive movement. And she counts on the fact that people are uninformed, the Alinsky Model, taking advantage of useful idiots. Well, I just happen to believe that people are not stupid. [applause] And the way I will come at it is to educate people, help people to actually understand that it is that progressive movement that is causing them the problems. You know, you look at the -- the national debt and how it's being driven up. If I was trying to destroy this country, what I would do is find a way to drive wedges between all the people, drive the debt to an unsustainable level, and then step off the stage as a world leader and let our enemies increase while we decreased our capacity as a military person. And that's what she's doing. [applause] ","CARSON"
2015-08-06,"BUSH: We've done it 27 times since World War II. I think we need to lift our spirits and have high, lofty expectations for this great country of ours. The new normal of two percent that the left is saying you can't do anything about is so dangerous for our country. There's 6 million people living in poverty today, more than when Barack Obama got elected. 6.5 million people are working part-time, most of whom want to work full-time. We've created rules and taxes on top of every aspiration of people, and the net result is we're not growing fast, income's not growing. A four percent growth strategy means you fix a convoluted tax code. You get in and you change every aspect of regulations that are job killers. You get rid of Obamacare and replace it with something that doesn't suppress wages and kill jobs. [applause] You embrace the energy revolution in our country. This president and Hillary Clinton, who can't even say she's for the XL pipeline even after she's left? Give me a break. Of course we're for it. We should be for these things to create high sustained economic growth. And frankly, [timer sounds] fixing our immigration system and turning it into an economic driver is part of this as well. We can do this. [applause] ","BUSH"
2015-08-06,"WALKER: Well, the voters in Wisconsin elected me last year for the third time because they wanted someone who aimed high, not aimed low. Before I came in, the unemployment rate was over eight percent. It's now down to 4.6 percent. We've more than made up for the jobs that were lost during the recession. And the rate in which people are working is almost five points higher than it is nationally. You know, people like Hillary Clinton think you grow the economy by growing Washington. One report last year showed that six of the top 10 wealthiest counties in America were in or around Washington, D.C.. I think most of us in America understand that people, not the government creates jobs. And one of the best things we can do is get the government out of the way, repeal Obamacare, put in -- reign in all the out of control regulations, put in place an all of the above energy policy, give people the education, the skills that the need to succeed, and lower the tax rate and reform the tax code. That's what I'll do as president, just like I did in Wisconsin. [applause] ","WALKER"
2015-08-06,"CHRISTIE: No, he's not lying, he's just wrong. I mean, so, there's a difference -- I'm the only guy on this stage who's put out a detailed, 12 point plan on entitlement reform and here's why -- because 71% of federal spending right now is on entitlements, and debt service, 71%. And we have spent the last hour and five minutes talking about the other 29%, and no time on the 71%, and that makes no sense. Now, let me tell you exactly what we would do on Social Security. Yes, we'd raise the retirement age two years, and phase it in over 25 years, that means we'd raise it one month a year for 25 years when we're all living longer, and living better lives. Secondly, we would means test Social Security for those who are making over $200,000 dollars a year in retirement income, and have $4 to $5 million dollars in liquid assets saved. They don't need that Social Security check. Social Security is meant to be -- to make sure that no one who's worked hard, and played by the rules, and paid into the system grows old in poverty in America. If we don't deal with this problem, it will bankrupt our country, or lead to massive tax increases, neither one that we want in this country. [applause] ","CHRISTIE"
2015-08-06,"HUCKABEE: Well, let's all be reminded, 60 million Americans are on Social Security, 60 million. A third of those people depend on 90% of their income from Social Security. Nobody in this country is on Social Security because they made the decision when they were starting work at 14 that they wanted to trust some of their money with the government. The government took it out of their check whether they wanted them to or not. And, if person goes to 65, they're going to spend 51 years with the government reaching into their pocket at every paycheck. Now, here's the point, whose fault is it that the system is screwed up? Is it the recipients, or is it the government? And, if Congress wants to mess with the retirement program, why don't we let them start by changing their retirement program, and not have one, instead of talking about getting rid of Social Security and Medicare that was robbed $700 billion dollars to pay for Obamacare. It's always that the government figures that they can do this off the backs of people, many of whom are poor, and depend on that money, and I just think it's fundamentally lying to the people and stealing from them, and we shouldn't be doing it. [applause] ","HUCKABEE"
2015-08-06,"CHRISTIE: Chris... ","CHRISTIE"
