pmid,sent,text,hedge
30852421,13,The CNN had a smaller variance of results indicating a higher robustness of computer vision compared with human assessment for dermatologic image classification tasks.,0
29801159,1,Retinopathy of prematurity (ROP) is a leading cause of childhood blindness worldwide.,0
29801159,2,"The decision to treat is primarily based on the presence of plus disease, defined as dilation and tortuosity of retinal vessels.",0
29801159,3,"However, clinical diagnosis of plus disease is highly subjective and variable.",0
29801159,4,To implement and validate an algorithm based on deep learning to automatically diagnose plus disease from retinal photographs.,0
29801159,5,A deep convolutional neural network was trained using a data set of 5511 retinal photographs.,0
29801159,6,"Each image was previously assigned a reference standard diagnosis (RSD) based on consensus of image grading by 3 experts and clinical diagnosis by 1 expert (ie, normal, pre-plus disease, or plus disease).",0
29801159,7,The algorithm was evaluated by 5-fold cross-validation and tested on an independent set of 100 images.,0
29801159,8,Images were collected from 8 academic institutions participating in the Imaging and Informatics in ROP (i-ROP) cohort study.,0
29801159,9,"The deep learning algorithm was tested against 8 ROP experts, each of whom had more than 10 years of clinical experience and more than 5 peer-reviewed publications about ROP.",0
29801159,10,Data were collected from July 2011 to December 2016.,0
29801159,11,Data were analyzed from December 2016 to September 2017.,0
29801159,12,A deep learning algorithm trained on retinal photographs.,0
29801159,13,Receiver operating characteristic analysis was performed to evaluate performance of the algorithm against the RSD.,0
29801159,14,"Quadratic-weighted κ coefficients were calculated for ternary classification (ie, normal, pre-plus disease, and plus disease) to measure agreement with the RSD and 8 independent experts.",0
29801159,15,"Of the 5511 included retinal photographs, 4535 (82.3%) were graded as normal, 805 (14.6%) as pre-plus disease, and 172 (3.1%) as plus disease, based on the RSD.",0
29801159,16,Mean (SD) area under the receiver operating characteristic curve statistics were 0.94 (0.01) for the diagnosis of normal (vs pre-plus disease or plus disease) and 0.98 (0.01) for the diagnosis of plus disease (vs normal or pre-plus disease).,0
29801159,17,"For diagnosis of plus disease in an independent test set of 100 retinal images, the algorithm achieved a sensitivity of 93% with 94% specificity.",0
29801159,18,"For detection of pre-plus disease or worse, the sensitivity and specificity were 100% and 94%, respectively.",0
29801159,19,"On the same test set, the algorithm achieved a quadratic-weighted κ coefficient of 0.92 compared with the RSD, outperforming 6 of 8 ROP experts.",0
29801159,20,This fully automated algorithm diagnosed plus disease in ROP with comparable or better accuracy than human experts.,0
29801159,21,"This has potential applications in disease detection, monitoring, and prognosis in infants at risk of ROP.",1
30589947,1,We propose a deep learning-based approach to breast mass classification in sonography and compare it with the assessment of four experienced radiologists employing breast imaging reporting and data system 4th edition lexicon and assessment protocol.,0
30589947,2,Several transfer learning techniques are employed to develop classifiers based on a set of 882 ultrasound images of breast masses.,0
30589947,3,"Additionally, we introduce the concept of a matching layer.",0
30589947,4,"The aim of this layer is to rescale pixel intensities of the grayscale ultrasound images and convert those images to red, green, blue (RGB) to more efficiently utilize the discriminative power of the convolutional neural network pretrained on the ImageNet dataset.",0
30589947,5,We present how this conversion can be determined during fine-tuning using back-propagation.,0
30589947,6,"Next, we compare the performance of the transfer learning techniques with and without the color conversion.",0
30589947,7,"To show the usefulness of our approach, we additionally evaluate it using two publicly available datasets.",0
30589947,8,Color conversion increased the areas under the receiver operating curve for each transfer learning method.,0
30589947,9,"For the better-performing approach utilizing the fine-tuning and the matching layer, the area under the curve was equal to 0.936 on a test set of 150 cases.",0
30589947,10,The areas under the curves for the radiologists reading the same set of cases ranged from 0.806 to 0.882.,0
30589947,11,"In the case of the two separate datasets, utilizing the proposed approach we achieved areas under the curve of around 0.890.",0
30589947,12,The concept of the matching layer is generalizable and can be used to improve the overall performance of the transfer learning techniques using deep convolutional neural networks.,0
30589947,13,"When fully developed as a clinical tool, the methods proposed in this paper have the potential to help radiologists with breast mass classification in ultrasound.",1
30917021,1,The objective of our study was to compare the sensitivity of a deep learning (DL) algorithm with the assessments by radiologists in diagnosing osteonecrosis of the femoral head (ONFH) using digital radiography.,0
30917021,2,"We performed a two-center, retrospective, noninferiority study of consecutive patients (≥ 16 years old) with a diagnosis of ONFH based on MR images.",0
30917021,3,"We investigated the following four datasets of unilaterally cropped hip anteroposterior radiographs: training (n = 1346), internal validation (n = 148), temporal external test (n = 148), and geographic external test (n = 250).",0
30917021,4,"Diagnostic performance was measured for a DL algorithm, a less experienced radiologist, and an experienced radiologist.",0
30917021,5,Noninferiority analyses for sensitivity were performed for the DL algorithm and both radiologists.,0
30917021,6,Subgroup analysis for precollapse and postcollapse ONFH was done.,0
30917021,7,"Overall, 1892 hips (1037 diseased and 855 normal) were included.",0
30917021,8,"Sensitivity and specificity for the temporal external test set were 84.8% and 91.3% for the DL algorithm, 77.6% and 100.0% for the less experienced radiologist, and 82.4% and 100.0% for the experienced radiologist.",0
30917021,9,"Sensitivity and specificity for the geographic external test set were 75.2% and 97.2% for the DL algorithm, 77.6% and 75.0% for the less experienced radiologist, and 78.0% and 86.1% for the experienced radiologist.",0
30917021,10,The sensitivity of the DL algorithm was noninferior to that of the assessments by both radiologists.,0
30917021,11,"The DL algorithm was more sensitive for precollapse ONFH than the assessment by the less experienced radiologist in the temporal external test set (75.9% vs 57.4%; 95% CI of the difference, 4.5-32.8%).",0
30917021,12,The sensitivity of the DL algorithm for diagnosing ONFH using digital radiography was noninferior to that of both less experienced and experienced radiologist assessments.,0
30993926,1,To investigate whether a computer-aided diagnosis (CAD) system based on a deep learning framework (deep learning-based CAD) improves the diagnostic performance of radiologists in differentiating between malignant and benign masses on breast ultrasound (US).,0
30993926,2,"B-mode US images were prospectively obtained for 253 breast masses (173 benign, 80 malignant) in 226 consecutive patients.",0
30993926,3,Breast mass US findings were retrospectively analyzed by deep learning-based CAD and four radiologists.,0
30993926,4,"In predicting malignancy, the CAD results were dichotomized (possibly benign vs. possibly malignant).",0
30993926,5,The radiologists independently assessed Breast Imaging Reporting and Data System final assessments for two datasets (US images alone or with CAD).,0
30993926,6,"For each dataset, the radiologists' final assessments were classified as positive (category 4a or higher) and negative (category 3 or lower).",0
30993926,7,The diagnostic performances of the radiologists for the two datasets (US alone vs. US with CAD) were compared.,0
30993926,8,"When the CAD results were added to the US images, the radiologists showed significant improvement in specificity (range of all radiologists for US alone vs. US with CAD: 72.8-92.5% vs. 82.1-93.1%; p < 0.001), accuracy (77.9-88.9% vs. 86.2-90.9%; p = 0.038), and positive predictive value (PPV) (60.2-83.3% vs. 70.4-85.2%; p = 0.001).",0
30993926,9,"However, there were no significant changes in sensitivity (81.3-88.8% vs. 86.3-95.0%; p = 0.120) and negative predictive value (91.4-93.5% vs. 92.9-97.3%; p = 0.259).",1
30993926,10,"Deep learning-based CAD could improve radiologists' diagnostic performance by increasing their specificity, accuracy, and PPV in differentiating between malignant and benign masses on breast US.",1
30179104,1,Purpose To develop and validate a deep learning system (DLS) for staging liver fibrosis by using CT images in the liver.,0
30179104,2,Materials and Methods DLS for CT-based staging of liver fibrosis was created by using a development data set that included portal venous phase CT images in 7461 patients with pathologically confirmed liver fibrosis.,0
30179104,3,The diagnostic performance of the DLS was evaluated in separate test data sets for 891 patients.,0
30179104,4,The influence of patient characteristics and CT techniques on the staging accuracy of the DLS was evaluated by logistic regression analysis.,0
30179104,5,"In a subset of 421 patients, the diagnostic performance of the DLS was compared with that of the radiologist's assessment, aminotransferase-to-platelet ratio index (APRI), and fibrosis-4 index by using the area under the receiver operating characteristic curve (AUROC) and Obuchowski index.",0
30179104,6,"Results In the test data sets, the DLS had a staging accuracy of 79.4% (707 of 891) and an AUROC of 0.96, 0.97, and 0.95 for diagnosing significant fibrosis (F2-4), advanced fibrosis (F3-4), and cirrhosis (F4), respectively.",0
30179104,7,"At multivariable analysis, only pathologic fibrosis stage significantly affected the staging accuracy of the DLS (P = .016 and .013 for F1 and F2, respectively, compared with F4), whereas etiology of liver disease and CT technique did not.",0
30179104,8,"The DLS (Obuchowski index, 0.94) outperformed the radiologist's interpretation, APRI, and fibrosis-4 index (Obuchowski index range, 0.71-0.81; P Ë‚ .001) for staging liver fibrosis.",0
30179104,9,Conclusion The deep learning system allows for accurate staging of liver fibrosis by using CT images.,0
30179104,10,"RSNA, 2018 Online supplemental material is available for this article.",0
28422152,1,"The introduction of lung cancer screening programs will produce an unprecedented amount of chest CT scans in the near future, which radiologists will have to read in order to decide on a patient follow-up strategy.",0
28422152,2,"According to the current guidelines, the workup of screen-detected nodules strongly relies on nodule size and nodule type.",0
28422152,3,"In this paper, we present a deep learning system based on multi-stream multi-scale convolutional networks, which automatically classifies all nodule types relevant for nodule workup.",0
28422152,4,The system processes raw CT data containing a nodule without the need for any additional information such as nodule segmentation or nodule size and learns a representation of 3D data by analyzing an arbitrary number of 2D views of a given nodule.,0
28422152,5,The deep learning system was trained with data from the Italian MILD screening trial and validated on an independent set of data from the Danish DLCST screening trial.,0
28422152,6,"We analyze the advantage of processing nodules at multiple scales with a multi-stream convolutional network architecture, and we show that the proposed deep learning system achieves performance at classifying nodule type that surpasses the one of classical machine learning approaches and is within the inter-observer variability among four experienced human observers.",0
30398430,1,"Purpose To develop and validate a deep learning algorithm that predicts the final diagnosis of Alzheimer disease (AD), mild cognitive impairment, or neither at fluorine 18 (18F) fluorodeoxyglucose (FDG) PET of the brain and compare its performance to that of radiologic readers.",0
30398430,2,"Materials and Methods Prospective 18F-FDG PET brain images from the Alzheimer's Disease Neuroimaging Initiative (ADNI) (2109 imaging studies from 2005 to 2017, 1002 patients) and retrospective independent test set (40 imaging studies from 2006 to 2016, 40 patients) were collected.",0
30398430,3,Final clinical diagnosis at follow-up was recorded.,0
30398430,4,"Convolutional neural network of InceptionV3 architecture was trained on 90% of ADNI data set and tested on the remaining 10%, as well as the independent test set, with performance compared to radiologic readers.",0
30398430,5,"Model was analyzed with sensitivity, specificity, receiver operating characteristic (ROC), saliency map, and t-distributed stochastic neighbor embedding.",0
30398430,6,"Results The algorithm achieved area under the ROC curve of 0.98 (95% confidence interval: 0.94, 1.00) when evaluated on predicting the final clinical diagnosis of AD in the independent test set (82% specificity at 100% sensitivity), an average of 75.8 months prior to the final diagnosis, which in ROC space outperformed reader performance (57% [four of seven] sensitivity, 91% [30 of 33] specificity; P < .05).",0
30398430,7,Saliency map demonstrated attention to known areas of interest but with focus on the entire brain.,0
30398430,8,"Conclusion By using fluorine 18 fluorodeoxyglucose PET of the brain, a deep learning algorithm developed for early prediction of Alzheimer disease achieved 82% specificity at 100% sensitivity, an average of 75.8 months prior to the final diagnosis.",0
30398430,9,"RSNA, 2018 Online supplemental material is available for this article.",0
30398430,10,See also the editorial by Larvie in this issue.,0
29428356,1,"We tested the use of a deep learning algorithm to classify the clinical images of 12 skin diseases-basal cell carcinoma, squamous cell carcinoma, intraepithelial carcinoma, actinic keratosis, seborrheic keratosis, malignant melanoma, melanocytic nevus, lentigo, pyogenic granuloma, hemangioma, dermatofibroma, and wart.",0
29428356,2,"The convolutional neural network (Microsoft ResNet-152 model; Microsoft Research Asia, Beijing, China) was fine-tuned with images from the training portion of the Asan dataset, MED-NODE dataset, and atlas site images (19,398 images in total).",0
29428356,3,"The trained model was validated with the testing portion of the Asan, Hallym and Edinburgh datasets.",0
29428356,4,"With the Asan dataset, the area under the curve for the diagnosis of basal cell carcinoma, squamous cell carcinoma, intraepithelial carcinoma, and melanoma was 0.96 ± 0.01, 0.83 ± 0.01, 0.82 ± 0.02, and 0.96 ± 0.00, respectively.",0
29428356,5,"With the Edinburgh dataset, the area under the curve for the corresponding diseases was 0.90 ± 0.01, 0.91 ± 0.01, 0.83 ± 0.01, and 0.88 ± 0.01, respectively.",0
29428356,6,"With the Hallym dataset, the sensitivity for basal cell carcinoma diagnosis was 87.1% ± 6.0%.",0
29428356,7,The tested algorithm performance with 480 Asan and Edinburgh images was comparable to that of 16 dermatologists.,0
29428356,8,"To improve the performance of convolutional neural network, additional images with a broader range of ages and ethnicities should be collected.",0
30418527,1,Detection of active pulmonary tuberculosis on chest radiographs (CRs) is critical for the diagnosis and screening of tuberculosis.,0
30418527,2,An automated system may help streamline the tuberculosis screening process and improve diagnostic performance.,1
30418527,3,We developed a deep learning-based automatic detection (DLAD) algorithm using 54c221 normal CRs and 6768 CRs with active pulmonary tuberculosis that were labeled and annotated by 13 board-certified radiologists.,0
30418527,4,"The performance of DLAD was validated using 6 external multicenter, multinational datasets.",0
30418527,5,"To compare the performances of DLAD with physicians, an observer performance test was conducted by 15 physicians including nonradiology physicians, board-certified radiologists, and thoracic radiologists.",0
30418527,6,"Image-wise classification and lesion-wise localization performances were measured using area under the receiver operating characteristic (ROC) curves and area under the alternative free-response ROC curves, respectively.",0
30418527,7,Sensitivities and specificities of DLAD were calculated using 2 cutoffs (high sensitivity [98%] and high specificity [98%]) obtained through in-house validation.,0
30418527,8,DLAD demonstrated classification performance of 0.977-1.000 and localization performance of 0.973-1.000.,0
30418527,9,Sensitivities and specificities for classification were 94.3%-100% and 91.1%-100% using the high-sensitivity cutoff and 84.1%-99.0% and 99.1%-100% using the high-specificity cutoff.,0
30418527,10,DLAD showed significantly higher performance in both classification (0.993 vs 0.746-0.971) and localization (0.993 vs 0.664-0.925) compared to all groups of physicians.,0
30418527,11,"Our DLAD demonstrated excellent and consistent performance in the detection of active pulmonary tuberculosis on CR, outperforming physicians, including thoracic radiologists.",0
30662564,1,Artificial intelligence (AI) based on convolutional neural networks (CNNs) has a great potential to enhance medical workflow and improve health care quality.,0
30662564,2,"Of particular interest is practical implementation of such AI-based software as a cloud-based tool aimed for telemedicine, the practice of providing medical care from a distance using electronic interfaces.",0
30662564,3,"Methods: In this study, we used a dataset of labeled 35,900 optical coherence tomography (OCT) images obtained from age-related macular degeneration (AMD) patients and used them to train three types of CNNs to perform AMD diagnosis.",0
30662564,4,"Results: Here, we present an AI- and cloud-based telemedicine interaction tool for diagnosis and proposed treatment of AMD.",0
30662564,5,"Through deep learning process based on the analysis of preprocessed optical coherence tomography (OCT) imaging data, our AI-based system achieved the same image discrimination rate as that of retinal specialists in our hospital.",0
30662564,6,The AI platform's detection accuracy was generally higher than 90% and was significantly superior (p < 0.001) to that of medical students (69.4% and 68.9%) and equal (p = 0.99) to that of retinal specialists (92.73% and 91.90%).,0
30662564,7,"Furthermore, it provided appropriate treatment recommendations comparable to those of retinal specialists.",0
30662564,8,"Conclusions: We therefore developed a website for realistic cloud computing based on this AI platform, available at https://www.ym.edu.tw/~AI-OCT/.",0
30662564,9,Patients can upload their OCT images to the website to verify whether they have AMD and require treatment.,0
30662564,10,Using an AI-based cloud service represents a real solution for medical imaging diagnostics and telemedicine.,0
30067607,1,The aim of this study was to compare the diagnostic performance of a deep learning algorithm with that of radiologists in diagnosing maxillary sinusitis on Waters' view radiographs.,0
30067607,2,"Among 80,475 Waters' view radiographs, examined between May 2003 and February 2017, 9000 randomly selected cases were classified as normal or maxillary sinusitis based on radiographic findings and divided into training (n = 8000) and validation (n = 1000) sets to develop a deep learning algorithm.",0
30067607,3,Two test sets composed of Waters' view radiographs with concurrent paranasal sinus computed tomography were labeled based on computed tomography findings: one with temporal separation (n = 140) and the other with geographic separation (n = 200) from the training set.,0
30067607,4,"Area under the receiver operating characteristics curve (AUC), sensitivity, and specificity of the algorithm and 5 radiologists were assessed.",0
30067607,5,Interobserver agreement between the algorithm and majority decision of the radiologists was measured.,0
30067607,6,The correlation coefficient between the predicted probability of the algorithm and average confidence level of the radiologists was determined.,0
30067607,7,"The AUCs of the deep learning algorithm were 0.93 and 0.88 for the temporal and geographic external test sets, respectively.",0
30067607,8,The AUCs of the radiologists were 0.83 to 0.89 for the temporal and 0.75 to 0.84 for the geographic external test sets.,0
30067607,9,The deep learning algorithm showed statistically significantly higher AUC than radiologist in both test sets.,0
30067607,10,"In terms of sensitivity and specificity, the deep learning algorithm was comparable to the radiologists.",1
30067607,11,"A strong interobserver agreement was noted between the algorithm and radiologists (Cohen κ coefficient, 0.82).",0
30067607,12,"The correlation coefficient between the predicted probability of the algorithm and confidence level of radiologists was 0.89 and 0.84 for the 2 test sets, respectively.",0
30067607,13,The deep learning algorithm could diagnose maxillary sinusitis on Waters' view radiograph with superior AUC and comparable sensitivity and specificity to those of radiologists.,1
30948806,1,"Owing to improvements in image recognition via deep learning, machine-learning algorithms could eventually be applied to automated medical diagnoses that can guide clinical decision-making.",1
30948806,2,"However, these algorithms remain a 'black box' in terms of how they generate the predictions from the input data.",1
30948806,3,"Also, high-performance deep learning requires large, high-quality training datasets.",0
30948806,4,"Here, we report the development of an understandable deep-learning system that detects acute intracranial haemorrhage (ICH) and classifies five ICH subtypes from unenhanced head computed-tomography scans.",0
30948806,5,"By using a dataset of only 904 cases for algorithm training, the system achieved a performance similar to that of expert radiologists in two independent test datasets containing 200 cases (sensitivity of 98% and specificity of 95%) and 196 cases (sensitivity of 92% and specificity of 95%).",0
30948806,6,"The system includes an attention map and a prediction basis retrieved from training data to enhance explainability, and an iterative process that mimics the workflow of radiologists.",0
30948806,7,Our approach to algorithm development can facilitate the development of deep-learning systems for a variety of clinical applications and accelerate their adoption into clinical practice.,0
30253801,1,"Due to the occult anatomic location of the nasopharynx and frequent presence of adenoid hyperplasia, the positive rate for malignancy identification during biopsy is low, thus leading to delayed or missed diagnosis for nasopharyngeal malignancies upon initial attempt.",0
30253801,2,"Here, we aimed to develop an artificial intelligence tool to detect nasopharyngeal malignancies under endoscopic examination based on deep learning.",0
30253801,3,An endoscopic images-based nasopharyngeal malignancy detection model (eNPM-DM) consisting of a fully convolutional network based on the inception architecture was developed and fine-tuned using separate training and validation sets for both classification and segmentation.,0
30253801,4,"Briefly, a total of 28,966 qualified images were collected.",0
30253801,5,"Among these images, 27,536 biopsy-proven images from 7951 individuals obtained from January 1st, 2008, to December 31st, 2016, were split into the training, validation and test sets at a ratio of 7:1:2 using simple randomization.",0
30253801,6,"Additionally, 1430 images obtained from January 1st, 2017, to March 31st, 2017, were used as a prospective test set to compare the performance of the established model against oncologist evaluation.",0
30253801,7,"The dice similarity coefficient (DSC) was used to evaluate the efficiency of eNPM-DM in automatic segmentation of malignant area from the background of nasopharyngeal endoscopic images, by comparing automatic segmentation with manual segmentation performed by the experts.",0
30253801,8,"All images were histopathologically confirmed, and included 5713 (19.7%) normal control, 19,107 (66.0%) nasopharyngeal carcinoma (NPC), 335 (1.2%) NPC and 3811 (13.2%) benign diseases.",0
30253801,9,The eNPM-DM attained an overall accuracy of 88.7% (95% confidence interval (CI) 87.8%-89.5%) in detecting malignancies in the test set.,0
30253801,10,"In the prospective comparison phase, eNPM-DM outperformed the experts: the overall accuracy was 88.0% (95% CI 86.1%-89.6%) vs. 80.5% (95% CI 77.0%-84.0%).",0
30253801,11,"The eNPM-DM required less time (40 s vs. 110.0 Â± 5.8 min) and exhibited encouraging performance in automatic segmentation of nasopharyngeal malignant area from the background, with an average DSC of 0.78 ± 0.24 and 0.75 ± 0.26 in the test and prospective test sets, respectively.",0
30253801,12,"The eNPM-DM outperformed oncologist evaluation in diagnostic classification of nasopharyngeal mass into benign versus malignant, and realized automatic segmentation of malignant area from the background of nasopharyngeal endoscopic images.",0
30583848,1,The incidence of thyroid cancer is rising steadily because of overdiagnosis and overtreatment conferred by widespread use of sensitive imaging techniques for screening.,0
30583848,2,"This overall incidence growth is especially driven by increased diagnosis of indolent and well-differentiated papillary subtype and early-stage thyroid cancer, whereas the incidence of advanced-stage thyroid cancer has increased marginally.",0
30583848,3,Thyroid ultrasound is frequently used to diagnose thyroid cancer.,0
30583848,4,The aim of this study was to use deep convolutional neural network (DCNN) models to improve the diagnostic accuracy of thyroid cancer by analysing sonographic imaging data from clinical ultrasounds.,0
30583848,5,"We did a retrospective, multicohort, diagnostic study using ultrasound images sets from three hospitals in China.",0
30583848,6,"We developed and trained the DCNN model on the training set, 131 731 ultrasound images from 17 627 patients with thyroid cancer and 180 668 images from 25 325 controls from the thyroid imaging database at Tianjin Cancer Hospital.",0
30583848,7,Clinical diagnosis of the training set was made by 16 radiologists from Tianjin Cancer Hospital.,0
30583848,8,Images from anatomical sites that were judged as not having cancer were excluded from the training set and only individuals with suspected thyroid cancer underwent pathological examination to confirm diagnosis.,0
30583848,9,"The model's diagnostic performance was validated in an internal validation set from Tianjin Cancer Hospital (8606 images from 1118 patients) and two external datasets in China (the Integrated Traditional Chinese and Western Medicine Hospital, Jilin, 741 images from 154 patients; and the Weihai Municipal Hospital, Shandong, 11 039 images from 1420 patients).",0
30583848,10,All individuals with suspected thyroid cancer after clinical examination in the validation sets had pathological examination.,0
30583848,11,We also compared the specificity and sensitivity of the DCNN model with the performance of six skilled thyroid ultrasound radiologists on the three validation sets.,0
30583848,12,"Between Jan 1, 2012, and March 28, 2018, ultrasound images for the four study cohorts were obtained.",0
30583848,13,"The model achieved high performance in identifying thyroid cancer patients in the validation sets tested, with area under the curve values of 0Â·947 (95% CI 0.935-0.959) for the Tianjin internal validation set, 0.912 (95% CI 0.865-0.958) for the Jilin external validation set, and 0.908 (95% CI 0.891-0.925) for the Weihai external validation set.",0
30583848,14,The DCNN model also showed improved performance in identifying thyroid cancer patients versus skilled radiologists.,0
30583848,15,"For the Tianjin internal validation set, sensitivity was 93.4% (95% CI 89.6-96.1) versus 96.9% (93.9-98.6; p=0.003) and specificity was 86.1% (81.1-90.2) versus 59.4% (53.0-65.6; p<0.0001).",0
30583848,16,"For the Jilin external validation set, sensitivity was 84.3% (95% CI 73.6-91.9) versus 92.9% (84.1-97.6; p=0.048) and specificity was 86.9% (95% CI 77.8-93.3) versus 57.1% (45.9-67.9; p<0.0001).",0
30583848,17,"For the Weihai external validation set, sensitivity was 84.7% (95% CI 77.0-90.7) versus 89.0% (81.9-94.0; p=0.25) and specificity was 87.8% (95% CI 81.6-92.5) versus 68.6% (60.7-75.8; p<0.0001).",0
30583848,18,The DCNN model showed similar sensitivity and improved specificity in identifying patients with thyroid cancer compared with a group of skilled radiologists.,0
30583848,19,The improved technical performance of the DCNN model warrants further investigation as part of randomised clinical trials.,0
30583848,20,"The Program for Changjiang Scholars and Innovative Research Team in University in China, and National Natural Science Foundation of China.",0
31481392,1,To establish and validate a universal artificial intelligence (AI) platform for collaborative management of cataracts involving multilevel clinical scenarios and explored an AI-based medical referral pattern to improve collaborative efficiency and resource coverage.,0
31481392,2,"The training and validation datasets were derived from the Chinese Medical Alliance for Artificial Intelligence, covering multilevel healthcare facilities and capture modes.",0
31481392,3,"The datasets were labelled using a three-step strategy: (1) capture mode recognition; (2) cataract diagnosis as a normal lens, cataract or a postoperative eye and (3) detection of referable cataracts with respect to aetiology and severity.",0
31481392,4,"Moreover, we integrated the cataract AI agent with a real-world multilevel referral pattern involving self-monitoring at home, primary healthcare and specialised hospital services.",0
31481392,5,"The universal AI platform and multilevel collaborative pattern showed robust diagnostic performance in three-step tasks: (1) capture mode recognition (area under the curve (AUC) 99.28%-99.71%), (2) cataract diagnosis (normal lens, cataract or postoperative eye with AUCs of 99.82%, 99.96% and 99.93% for mydriatic-slit lamp mode and AUCs >99% for other capture modes) and (3) detection of referable cataracts (AUCs >91% in all tests).",0
31481392,6,"In the real-world tertiary referral pattern, the agent suggested 30.3% of people be 'referred', substantially increasing the ophthalmologist-to-population service ratio by 10.2-fold compared with the traditional pattern.",0
31481392,7,The universal AI platform and multilevel collaborative pattern showed robust diagnostic performance and effective service for cataracts.,0
31481392,8,The context of our AI-based medical referral pattern will be extended to other common disease conditions and resource-intensive situations.,0
31077698,1,Cancer invasion depth is a critical factor affecting the choice of treatment in patients with superficial squamous cell carcinoma (SCC).,0
31077698,2,"However, the diagnosis of invasion depth is currently subjective and liable to interobserver variability.",0
31077698,3,We developed a deep learning-based artificial intelligence (AI) system based on Single Shot MultiBox Detector architecture for the assessment of superficial esophageal SCC.,0
31077698,4,We obtained endoscopic images from patients with superficial esophageal SCC at our facility between December 2005 and December 2016.,0
31077698,5,"After excluding poor-quality images, 8660 non-magnified endoscopic (non-ME) and 5678 ME images from 804 superficial esophageal SCCs with pathologic proof of cancer invasion depth were used as the training dataset, and 405 non-ME images and 509 ME images from 155 patients were selected for the validation set.",0
31077698,6,"Our system showed a sensitivity of 90.1%, specificity of 95.8%, positive predictive value of 99.2%, negative predictive value of 63.9%, and an accuracy of 91.0% for differentiating pathologic mucosal and submucosal microinvasive (SM1) cancers from submucosal deep invasive (SM2/3) cancers.",0
31077698,7,"Cancer invasion depth was diagnosed by 16 experienced endoscopists using the same validation set, with an overall sensitivity of 89.8%, specificity of 88.3%, positive predictive value of 97.9%, negative predictive value of 65.5%, and an accuracy of 89.6%.",0
31077698,8,"This newly developed AI system showed favorable performance for diagnosing invasion depth in patients with superficial esophageal SCC, with comparable performance to experienced endoscopists.",0
30251934,1,Purpose To develop and validate a deep learning-based automatic detection algorithm (DLAD) for malignant pulmonary nodules on chest radiographs and to compare its performance with physicians including thoracic radiologists.,0
